plotID,pointID,plotType,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,crdSource,elevation,vertUncert,nlcdClass,appMods,siteID
ABBY_070,31,tower,basePlot,45.761244,-122.330931,WGS84,10N,552029.914,5067736.923,0.1,Geo 7X (H-Star),362.86,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_070,41,tower,basePlot,45.761334,-122.330793,WGS84,10N,552040.539,5067746.934,0.1,Geo 7X (H-Star),363.12,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_070,33,tower,basePlot,45.761237,-122.330668,WGS84,10N,552050.34,5067736.285,0.1,Geo 7X (H-Star),363.44,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_070,25,tower,basePlot,45.76114,-122.330542,WGS84,10N,552060.28,5067725.614,0.1,Geo 7X (H-Star),363.68,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_070,43,tower,basePlot,45.761323,-122.330532,WGS84,10N,552060.821,5067745.925,0.1,Geo 7X (H-Star),363.86,0.11,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
BART_040,23,tower,basePlot,44.065574,-71.291996,WGS84,19N,316442.128,4881710.091,0.2,GeoXH 6000,259.23,0.28,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_040,25,tower,basePlot,44.065574,-71.291732,WGS84,19N,316463.278,4881709.557,0.17,GeoXH 6000,261.33,0.21,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_040,39,tower,basePlot,44.065752,-71.292254,WGS84,19N,316421.971,4881730.44,0.14,GeoXH 6000,260.36,0.21,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_040,41,tower,basePlot,44.06576,-71.29199,WGS84,19N,316443.143,4881730.835,0.14,GeoXH 6000,260.15,0.19,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_040,43,tower,basePlot,44.06576,-71.291734,WGS84,19N,316463.649,4881730.191,0.16,GeoXH 6000,257.76,0.25,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_040,57,tower,basePlot,44.065943,-71.292246,WGS84,19N,316423.2,4881751.66,0.18,GeoXH 6000,258.98,0.26,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_040,59,tower,basePlot,44.065945,-71.291995,WGS84,19N,316443.294,4881751.39,0.18,GeoXH 6000,257.51,0.22,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_040,61,tower,basePlot,44.065942,-71.291744,WGS84,19N,316463.407,4881750.481,0.17,GeoXH 6000,258.12,0.26,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_040,21,tower,basePlot,44.065578,-71.292245,WGS84,19N,316422.16,4881711.108,0.19,GeoXH 6000,262.76,0.33,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_042,43,tower,basePlot,44.060193,-71.287803,WGS84,19N,316761.302,4881103.135,0.19,GeoXH 6000,289.56,0.25,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_042,59,tower,basePlot,44.060378,-71.288054,WGS84,19N,316741.726,4881124.245,0.14,GeoXH 6000,286.74,0.22,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_042,61,tower,basePlot,44.060386,-71.287809,WGS84,19N,316761.391,4881124.543,0.2,GeoXH 6000,288.44,0.3,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_042,57,tower,basePlot,44.060378,-71.288339,WGS84,19N,316718.963,4881124.911,0.18,GeoXH 6000,290.25,0.25,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_042,41,tower,basePlot,44.060194,-71.288052,WGS84,19N,316741.328,4881103.74,0.17,GeoXH 6000,288.29,0.24,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_042,25,tower,basePlot,44.060001,-71.287802,WGS84,19N,316760.774,4881081.844,0.19,GeoXH 6000,293.08,0.27,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_042,23,tower,basePlot,44.060003,-71.288061,WGS84,19N,316740.017,4881082.646,0.13,GeoXH 6000,289.4,0.18,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_042,21,tower,basePlot,44.060011,-71.288307,WGS84,19N,316720.36,4881083.985,0.18,GeoXH 6000,289.51,0.28,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_042,39,tower,basePlot,44.060195,-71.288305,WGS84,19N,316721.122,4881104.426,0.19,GeoXH 6000,292.82,0.28,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_036,23,tower,basePlot,44.061895,-71.285857,WGS84,19N,316922.383,4881287.797,0.12,GeoXH 6000,292.97,0.19,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_036,25,tower,basePlot,44.061887,-71.285595,WGS84,19N,316943.386,4881286.345,0.14,GeoXH 6000,296.51,0.21,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_036,39,tower,basePlot,44.062073,-71.286124,WGS84,19N,316901.608,4881308.176,0.15,GeoXH 6000,290.95,0.21,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_036,41,tower,basePlot,44.062082,-71.285878,WGS84,19N,316921.313,4881308.67,0.17,GeoXH 6000,290.97,0.23,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_036,43,tower,basePlot,44.062072,-71.285617,WGS84,19N,316942.205,4881306.972,0.13,GeoXH 6000,291.09,0.16,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_036,57,tower,basePlot,44.062252,-71.286125,WGS84,19N,316902.074,4881328.07,0.13,GeoXH 6000,290.59,0.2,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_036,59,tower,basePlot,44.062244,-71.285876,WGS84,19N,316921.927,4881326.671,0.17,GeoXH 6000,292.57,0.23,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_036,61,tower,basePlot,44.062252,-71.285616,WGS84,19N,316942.788,4881327,0.12,GeoXH 6000,288.28,0.16,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_036,21,tower,basePlot,44.061901,-71.286097,WGS84,19N,316903.244,4881289.037,0.14,GeoXH 6000,291.33,0.27,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_071,23,tower,basePlot,44.067765,-71.29062,WGS84,19N,316559.1,4881950.406,0.11,GeoXH 6000,260.61,0.15,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_071,25,tower,basePlot,44.067764,-71.290404,WGS84,19N,316576.385,4881949.892,0.18,GeoXH 6000,258.6,0.21,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_071,39,tower,basePlot,44.067942,-71.290859,WGS84,19N,316540.501,4881970.584,0.14,GeoXH 6000,258.78,0.2,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_071,41,tower,basePlot,44.067944,-71.290624,WGS84,19N,316559.305,4881970.375,0.13,GeoXH 6000,256.42,0.17,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_071,43,tower,basePlot,44.067949,-71.290364,WGS84,19N,316580.109,4881970.304,0.12,GeoXH 6000,255.06,0.15,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_071,57,tower,basePlot,44.068131,-71.290865,WGS84,19N,316540.584,4881991.642,0.15,GeoXH 6000,254.86,0.2,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_071,59,tower,basePlot,44.068123,-71.290614,WGS84,19N,316560.615,4881990.209,0.12,GeoXH 6000,252.66,0.19,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_071,61,tower,basePlot,44.068129,-71.290364,WGS84,19N,316580.663,4881990.273,0.14,GeoXH 6000,255.45,0.2,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_071,21,tower,basePlot,44.067768,-71.290863,WGS84,19N,316539.611,4881951.282,0.15,GeoXH 6000,259.68,0.17,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_036,31,tower,basePlot,44.062002,-71.285998,WGS84,19N,316911.473,4881300.006,NA,GIS,290.03,NA,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
BART_036,49,tower,basePlot,44.062182,-71.286005,WGS84,19N,316911.473,4881320.006,NA,GIS,288.47,NA,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BART
